station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,precipitation_mm,timestamp
STN001,20.1,68,1015.2,12.3,N,0.0,2025-08-14 06:00:00
STN001,21.3,66,1014.8,13.7,NE,0.0,2025-08-14 07:00:00
STN001,22.5,65,1013.2,15.3,NW,0.0,2025-08-14 08:00:00
STN001,23.2,63,1013.0,16.1,NW,0.0,2025-08-14 09:00:00
STN001,24.7,60,1012.8,17.5,W,0.0,2025-08-14 10:00:00
STN001,25.9,58,1012.5,18.7,NW,0.0,2025-08-14 11:00:00
STN001,27.2,55,1012.1,19.8,W,0.0,2025-08-14 12:00:00
STN001,28.5,52,1011.8,21.2,SW,0.0,2025-08-14 13:00:00
STN001,29.1,50,1011.5,22.6,SW,0.0,2025-08-14 14:00:00
STN001,28.8,51,1011.7,21.9,S,0.1,2025-08-14 15:00:00
