station_id,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,wind_direction,precipitation_mm,timestamp
STN001,22.5,65,1013.2,15.3,NW,0.0,2025-08-14 08:00:00
STN002,24.1,58,1012.8,12.7,N,0.2,2025-08-14 08:00:00
STN003,21.8,72,1014.1,18.9,NE,0.0,2025-08-14 08:00:00
STN001,23.2,63,1013.0,16.1,NW,0.0,2025-08-14 09:00:00
STN002,25.3,55,1012.5,14.2,NNE,0.0,2025-08-14 09:00:00
STN003,22.4,70,1014.3,20.1,E,0.1,2025-08-14 09:00:00
STN001,24.7,60,1012.8,17.5,W,0.0,2025-08-14 10:00:00
STN002,26.8,52,1012.2,15.8,NE,0.0,2025-08-14 10:00:00
STN003,23.1,68,1014.0,22.3,SE,0.3,2025-08-14 10:00:00
STN001,25.9,58,1012.5,18.7,NW,0.0,2025-08-14 11:00:00
